category,department,brand,inventory_units,inventory_cost,inventory_retail_value,units_sold_90d,sell_through_proxy,weeks_of_supply_proxy
Leggings,Women,Luxury Divas,178,1407.69,2383.22,18,0.0918,9.89
Plus,Women,Gold Toe,178,1256.43,2473.0,12,0.0632,14.83
Suits & Sport Coats,Men,DKNY,177,10631.03,27888.31,14,0.0733,12.64
Fashion Hoodies & Sweatshirts,Women,Juicy Couture,177,7623.44,16261.67,13,0.0684,13.62
Sleep & Lounge,Women,Calvin Klein,177,4753.78,8137.36,14,0.0733,12.64
Accessories,Men,Harley-Davidson,177,1547.04,3953.15,10,0.0535,17.7
Shorts,Women,True Religion,176,10645.86,21151.3,22,0.1111,8.0
Tops & Tees,Men,Ralph Lauren,176,6438.24,11323.97,15,0.0785,11.73
Tops & Tees,Men,A:X Armani Exchange,176,4223.64,7666.0,20,0.102,8.8
Sweaters,Men,Alex Stevens,175,2861.18,5753.15,18,0.0933,9.72
Socks,Men,Dockers,175,1880.04,3096.8,9,0.0489,19.44
Socks,Men,Stance,175,1343.85,2289.73,9,0.0489,19.44
Socks & Hosiery,Women,Berkshire,175,673.65,1670.08,7,0.0385,25.0
Intimates,Women,Sweetheart Slips,174,3423.76,6416.3,12,0.0645,14.5
Skirts,Women,Allegra K,174,677.97,1666.26,6,0.0333,29.0
Jeans,Men,Hudson,173,15557.95,29604.68,13,0.0699,13.31
Shorts,Men,UNIONBAY,173,2848.59,5928.85,17,0.0895,10.18
Fashion Hoodies & Sweatshirts,Women,District Threads,173,2700.33,5752.19,7,0.0389,24.71
Socks,Men,Sock It To Me,173,987.24,1630.64,8,0.0442,21.63
Outerwear & Coats,Women,Tommy Hilfiger,172,8411.76,18922.28,13,0.0703,13.23
Suits & Sport Coats,Men,Abini,172,5718.25,14321.4,8,0.0444,21.5
Intimates,Women,BridalPetticoat,172,3913.38,7491.8,14,0.0753,12.29
Skirts,Women,American Apparel,172,2620.02,6745.0,20,0.1042,8.6
Swim,Men,Body Glove,171,4928.58,8199.6,7,0.0393,24.43
Intimates,Women,Rampage,171,2086.31,4029.56,13,0.0707,13.15
Pants & Capris,Women,Dockers,170,3593.81,6900.43,10,0.0556,17.0
Plus,Women,Vanity Fair,169,2563.38,5002.26,12,0.0663,14.08
Sweaters,Women,Sutton Studio,168,10138.47,22159.78,9,0.0508,18.67
Plus,Women,Bali,168,4374.87,8454.32,13,0.0718,12.92
Tops & Tees,Men,Calvin Klein,168,4236.64,7568.0,8,0.0455,21.0
Socks & Hosiery,Women,Betsey Johnson,168,1511.4,3754.86,11,0.0615,15.27
Socks & Hosiery,Women,Foot Traffic,168,811.85,2024.74,11,0.0615,15.27
Pants,Men,Carhartt,167,5924.26,12637.73,16,0.0874,10.44
Fashion Hoodies & Sweatshirts,Men,NEFF,167,5291.94,9784.6,15,0.0824,11.13
Fashion Hoodies & Sweatshirts,Men,Harley-Davidson,167,4461.1,8193.65,11,0.0618,15.18
Pants,Men,Tru-Spec,167,4107.7,9187.45,10,0.0565,16.7
Socks,Men,Darn Tough,167,3135.16,5276.69,9,0.0511,18.56
Tops & Tees,Women,eVogues Apparel,167,2952.23,5241.33,10,0.0565,16.7
Dresses,Women,US Fairytailes,166,9435.21,20897.34,14,0.0778,11.86
Swim,Men,Diesel,166,6080.71,10375.4,18,0.0978,9.22
Swim,Men,RVCA,166,5649.99,9349.73,17,0.0929,9.76
Fashion Hoodies & Sweatshirts,Men,ZOO YORK,166,5205.48,9497.35,17,0.0929,9.76
Intimates,Women,Glamorise,166,3654.32,6975.05,15,0.0829,11.07
Blazers & Jackets,Women,Alex Evenings,165,7063.76,18838.14,8,0.0462,20.63
Fashion Hoodies & Sweatshirts,Men,TapouT,164,4094.31,7367.98,12,0.0682,13.67
Sleep & Lounge,Men,Daniel Buchler,164,3663.93,9018.26,6,0.0353,27.33
Sweaters,Women,Allegra K,164,1295.69,2783.0,15,0.0838,10.93
Sweaters,Women,Jones New York,163,7848.34,17313.26,9,0.0523,18.11
Dresses,Women,Jessica Howard,163,7618.57,16802.31,13,0.0739,12.54
Accessories,Men,TUMI,163,5097.19,12343.78,15,0.0843,10.87
Tops & Tees,Men,Calvin Klein Jeans,163,4297.39,7704.44,13,0.0739,12.54
Outerwear & Coats,Men,Volcom,162,11698.55,26160.7,13,0.0743,12.46
Intimates,Women,Allegra K,162,425.7,789.57,12,0.069,13.5
Maternity,Women,Everly Grey,161,4293.37,9912.0,19,0.1056,8.47
Sweaters,Men,IZOD,161,3233.62,6361.23,10,0.0585,16.1
Shorts,Men,Carhartt,160,3438.7,6844.78,10,0.0588,16.0
Pants,Men,Kenneth Cole REACTION,160,3372.26,7388.53,11,0.0643,14.55
Outerwear & Coats,Women,The North Face,159,20481.14,45009.75,13,0.0756,12.23
Fashion Hoodies & Sweatshirts,Men,LRG,159,6381.29,11754.85,12,0.0702,13.25
Maternity,Women,NOM,159,5313.54,12102.91,21,0.1167,7.57
Shorts,Men,Calvin Klein,159,4654.21,9205.1,14,0.0809,11.36
Swim,Men,Rip Curl,158,4394.22,7574.13,9,0.0539,17.56
Blazers & Jackets,Women,MANGO,158,3934.82,10793.42,5,0.0307,31.6
Sleep & Lounge,Women,Hatley,158,3329.95,5468.5,15,0.0867,10.53
Sleep & Lounge,Men,Perry Ellis,158,1756.56,4442.54,13,0.076,12.15
Outerwear & Coats,Men,Marc New York by Andrew Marc,157,16276.47,36325.99,17,0.0977,9.24
Outerwear & Coats,Women,MICHAEL Michael Kors,157,11802.07,25994.65,12,0.071,13.08
Swim,Women,L*Space,157,6018.5,13743.94,9,0.0542,17.44
Shorts,Women,Sanctuary,157,4128.07,8249.65,13,0.0765,12.08
Sleep & Lounge,Men,The Pajamagram Company,157,2745.68,6907.43,13,0.0765,12.08
Fashion Hoodies & Sweatshirts,Men,O'Neill,156,4484.64,8146.51,8,0.0488,19.5
Sleep & Lounge,Women,Carol Wright Gifts,156,1516.89,2546.44,13,0.0769,12.0
Suits & Sport Coats,Men,Orvis,155,10782.21,27226.0,8,0.0491,19.38
Sleep & Lounge,Women,Shadowline,155,5856.09,10008.9,15,0.0882,10.33
Sleep & Lounge,Women,Tommy Hilfiger,155,3487.77,5827.06,10,0.0606,15.5
Outerwear & Coats,Women,Via Spiga,154,9327.03,21474.58,11,0.0667,14.0
Maternity,Women,Momo Maternity,154,6353.86,13989.0,7,0.0435,22.0
Sleep & Lounge,Women,Paul Frank,154,2593.62,4264.3,12,0.0723,12.83
Swim,Women,Hot from Hollywood,154,2590.34,6208.46,9,0.0552,17.11
Accessories,Women,Carhartt,154,1362.45,3417.69,12,0.0723,12.83
Fashion Hoodies & Sweatshirts,Men,Vans,153,3927.11,7217.42,8,0.0497,19.13
Shorts,Men,Rusty,153,3392.6,6680.36,14,0.0838,10.93
Sleep & Lounge,Women,Disney,153,1947.41,3218.91,14,0.0838,10.93
Underwear,Men,Nautica,153,1788.88,3756.6,17,0.1,9.0
Accessories,Women,DG Eyewear,153,571.74,1463.32,7,0.0437,21.86
Active,Men,Icebreaker,152,7484.42,18691.6,2,0.013,76.0
Intimates,Women,Hanro,152,5231.57,9989.22,11,0.0675,13.82
Fashion Hoodies & Sweatshirts,Men,RVCA,152,4880.3,9136.25,8,0.05,19.0
Swim,Women,TYR,152,3848.22,9203.79,9,0.0559,16.89
Sleep & Lounge,Men,Diesel,152,3266.68,8090.2,6,0.038,25.33
Tops & Tees,Men,Sons Of Anarchy,152,2955.64,5149.36,13,0.0788,11.69
Accessories,Men,Kangol,152,2809.93,6907.15,9,0.0559,16.89
Sweaters,Men,Geoffrey Beene,152,2514.8,4991.63,10,0.0617,15.2
Tops & Tees,Men,Champion,152,2179.4,4004.46,17,0.1006,8.94
Sleep & Lounge,Men,Hanes,152,1399.96,3368.69,13,0.0788,11.69
Socks,Men,Fruit of the Loom,152,1131.13,1895.59,16,0.0952,9.5
Outerwear & Coats,Women,Mountain Hardwear,151,13576.85,30313.75,9,0.0563,16.78
Pants,Men,Lee,151,2270.37,4878.5,9,0.0563,16.78
Tops & Tees,Men,FEA,151,1753.85,3095.97,12,0.0736,12.58
Active,Men,MJ Soffe,151,1519.12,3567.94,15,0.0904,10.07
Swim,Men,Rusty,150,4440.09,7527.65,11,0.0683,13.64
Sweaters,Men,Banana Republic,150,4040.4,7828.11,9,0.0566,16.67
Outerwear & Coats,Men,The North Face,149,41227.96,96661.67,11,0.0688,13.55
Swim,Women,Melissa Odabash,149,9526.94,22748.13,9,0.057,16.56
Outerwear & Coats,Women,London Fog,149,7814.97,17034.12,16,0.097,9.31
Jeans,Women,Wrangler,149,3665.35,6709.58,13,0.0802,11.46
Skirts,Women,FineBrandShop,149,935.8,2408.15,9,0.057,16.56
Maternity,Women,Lamaze,148,1575.41,3495.0,8,0.0513,18.5
Suits & Sport Coats,Men,Austin Reed,147,7939.8,20402.48,8,0.0516,18.38
Pants,Men,Paul Fredrick,147,7171.73,15546.5,21,0.125,7.0
Sleep & Lounge,Men,Naturally by Derek Rose,147,5033.56,12288.59,12,0.0755,12.25
Active,Women,ASICS,147,4317.86,10411.27,10,0.0637,14.7
Pants,Men,Concitor,147,2012.7,4402.65,17,0.1037,8.65
Active,Women,Danskin,147,1689.57,3861.96,7,0.0455,21.0
Accessories,Men,Columbia,147,1116.79,2780.9,7,0.0455,21.0
Plus,Women,TrendsBlue,147,759.36,1492.75,8,0.0516,18.38
Tops & Tees,Men,Robert Graham,146,14576.75,26309.61,16,0.0988,9.13
Jeans,Women,Miss Me,146,7864.3,14376.67,6,0.0395,24.33
Intimates,Women,Arianne,146,3967.5,7303.57,10,0.0641,14.6
Plus,Women,Oakley,145,10104.85,19650.4,12,0.0764,12.08
Sweaters,Women,Christopher Fischer,145,6877.07,15537.0,9,0.0584,16.11
Tops & Tees,Men,Harriton,145,2781.32,4994.22,13,0.0823,11.15
Sleep & Lounge,Men,Calvin Klein,145,2141.17,5540.11,9,0.0584,16.11
Accessories,Men,Isotoner,145,1617.74,4096.72,7,0.0461,20.71
Maternity,Women,Anita,144,3997.1,9090.24,10,0.0649,14.4
Jeans,Men,Nautica,144,3652.84,7005.05,13,0.0828,11.08
Tops & Tees,Women,Devon & Jones,144,2480.61,4405.02,15,0.0943,9.6
Suits & Sport Coats,Men,FineBrandShop,144,2286.87,5580.0,6,0.04,24.0
Active,Women,Life Is Good,144,2012.23,4901.0,13,0.0828,11.08
Underwear,Men,Michael Kors,144,1810.4,3820.45,10,0.0649,14.4
Dresses,Women,Jax,143,8441.13,18587.24,11,0.0714,13.0
Swim,Women,Sheridyn Swim,143,1649.42,3985.7,10,0.0654,14.3
Socks & Hosiery,Women,Anne Klein,143,1212.53,2918.63,12,0.0774,11.92
Jeans,Men,Calvin Klein Jeans,142,5065.73,9444.42,13,0.0839,10.92
Swim,Women,ECHO,142,4069.33,9752.65,11,0.0719,12.91
Sleep & Lounge,Women,Dearfoams,142,3064.75,5310.2,13,0.0839,10.92
Intimates,Women,Popsi Lingerie,142,2129.85,3885.72,9,0.0596,15.78
Underwear,Men,Bjorn Borg,142,1714.58,3675.63,12,0.0779,11.83
Fashion Hoodies & Sweatshirts,Men,Carhartt,141,7099.94,12497.9,15,0.0962,9.4
Socks,Men,Nike,141,5896.41,9856.15,17,0.1076,8.29
Sweaters,Men,Scotch & Soda,140,8823.39,18069.65,4,0.0278,35.0
Pants,Men,G-Star,139,7412.82,15635.35,5,0.0347,27.8
Pants & Capris,Women,LOTUSTRADERS,139,3150.35,6026.61,13,0.0855,10.69
Shorts,Men,Haggar,139,2558.82,5164.93,9,0.0608,15.44
Dresses,Women,2b by bebe,139,2534.86,5648.05,15,0.0974,9.27
Active,Women,Cuddl Duds,139,1860.44,4455.31,6,0.0414,23.17
Fashion Hoodies & Sweatshirts,Women,FineBrandShop,139,1327.0,2832.1,7,0.0479,19.86
Socks & Hosiery,Women,Gold Toe,139,795.61,1925.0,8,0.0544,17.38
Accessories,Men,boxed-gifts,139,565.63,1409.66,7,0.0479,19.86
Accessories,Men,TrendsBlue,139,506.48,1268.57,6,0.0414,23.17
Sweaters,Men,Woolrich,138,7322.94,14561.82,8,0.0548,17.25
Fashion Hoodies & Sweatshirts,Women,Ed Hardy,138,2941.69,6305.31,11,0.0738,12.55
Tops & Tees,Men,Key Industries,138,1931.62,3497.82,8,0.0548,17.25
Intimates,Women,Angelina,138,1513.38,2815.08,8,0.0548,17.25
Outerwear & Coats,Men,Barbour,137,19416.01,44242.87,8,0.0552,17.13
Jeans,Men,G by GUESS,137,3687.5,6991.5,9,0.0616,15.22
Suits & Sport Coats,Men,Paul Malone,137,2943.47,7577.3,8,0.0552,17.13
Intimates,Women,Cinema Etoile,137,2501.55,4594.05,10,0.068,13.7
Underwear,Men,Pull-in,137,2105.93,4520.13,9,0.0616,15.22
Underwear,Men,Mundo Unico,137,1552.76,3275.0,10,0.068,13.7
Intimates,Women,b.tempt'd by Wacoal,137,1434.32,2807.0,4,0.0284,34.25
Sleep & Lounge,Men,DFDesigns,137,1388.53,3493.5,10,0.068,13.7
Intimates,Women,Rago,136,3520.83,6495.11,10,0.0685,13.6
Dresses,Women,eVogues Apparel,136,2251.95,5022.64,10,0.0685,13.6
Swim,Women,Calvin Klein,135,5129.81,12386.21,9,0.0625,15.0
Accessories,Men,Kenneth Cole REACTION,135,1181.52,3021.21,7,0.0493,19.29
Shorts,Women,7 For All Mankind,134,8029.91,16300.36,9,0.0629,14.89
Suits & Sport Coats,Men,Michael Kors,134,8021.32,20335.77,4,0.029,33.5
Tops & Tees,Men,Diesel,134,5815.52,10135.05,11,0.0759,12.18
Tops & Tees,Women,Carhartt,134,3167.52,5645.18,10,0.0694,13.4
Underwear,Men,Saxx,134,1914.41,4117.57,9,0.0629,14.89
Pants,Men,American Apparel,133,3820.87,8510.0,8,0.0567,16.63
Tops & Tees,Men,Tri-Mountain,133,2510.64,4461.67,8,0.0567,16.63
Pants & Capris,Women,Lee,133,2332.89,4449.07,9,0.0634,14.78
Jeans,Women,Wallflower,133,1889.07,3466.16,8,0.0567,16.63
Suits & Sport Coats,Men,Caravelli,132,5339.8,13603.4,12,0.0833,11.0
Shorts,Men,Metal Mulisha,132,2888.73,5920.66,6,0.0435,22.0
Plus,Women,Carhartt,132,2444.2,4930.17,10,0.0704,13.2
Sweaters,Men,Van Heusen,132,2227.18,4339.58,10,0.0704,13.2
Active,Men,Life Is Good,132,1874.27,4608.0,6,0.0435,22.0
Maternity,Women,FineBrandShop,132,1172.92,2679.6,10,0.0704,13.2
Pants & Capris,Women,Rafaella,131,2745.74,5273.8,8,0.0576,16.38
Active,Women,Under Armour,131,2277.76,5543.23,6,0.0438,21.83
Sleep & Lounge,Men,STATE O MAINE,131,1800.58,4592.74,10,0.0709,13.1
Socks,Men,Nautica,131,1130.99,1878.5,11,0.0775,11.91
Jeans,Men,Earnest Sewn,130,13106.34,24383.25,11,0.078,11.82
Dresses,Women,Kiyonna,130,7903.84,17940.0,12,0.0845,10.83
Dresses,Women,BCBGeneration,130,5655.51,12591.05,11,0.078,11.82
Intimates,Women,Carnival,130,3287.82,6110.0,13,0.0909,10.0
Tops & Tees,Men,IZOD,130,2830.04,5165.92,10,0.0714,13.0
Shorts,Women,Levi's,130,1860.7,3812.66,7,0.0511,18.57
Pants,Men,AG Adriano Goldschmied,129,8856.96,18601.41,9,0.0652,14.33
Outerwear & Coats,Men,Nautica,129,5513.23,12363.33,6,0.0444,21.5
Pants & Capris,Women,Briggs,129,2848.96,5254.12,10,0.0719,12.9
Tops & Tees,Men,Pacific Legend,129,2797.64,4979.87,3,0.0227,43.0
Sleep & Lounge,Women,Intimo,129,2356.6,3889.2,6,0.0444,21.5
Active,Women,Mountain Hardwear,128,7423.29,17422.16,19,0.1293,6.74
Jeans,Men,LRG,128,4982.03,9528.15,4,0.0303,32.0
Sweaters,Women,Roxy,128,3324.18,7236.23,7,0.0519,18.29
Swim,Women,JAG,128,3314.18,8161.0,13,0.0922,9.85
Dresses,Women,American Apparel,128,2398.82,5375.0,12,0.0857,10.67
Accessories,Men,Outdoor Research,128,1658.37,4301.29,15,0.1049,8.53
Plus,Women,Hanes,128,851.54,1704.04,6,0.0448,21.33
Underwear,Men,Hanro,127,3420.86,7487.0,12,0.0863,10.58
Pants,Men,IZOD,127,3100.56,6895.28,8,0.0593,15.88
Fashion Hoodies & Sweatshirts,Women,Metal Mulisha,127,3063.93,6549.1,7,0.0522,18.14
Accessories,Men,Calvin Klein,127,1553.18,3816.39,6,0.0451,21.17
Accessories,Men,Dockers,127,1054.89,2625.41,7,0.0522,18.14
Jeans,Men,Antique Rivet,126,6237.46,11857.98,11,0.0803,11.45
Sleep & Lounge,Women,The Pajamagram Company,126,4982.02,8258.74,12,0.087,10.5
Jeans,Men,Cinch,126,4694.57,8631.74,14,0.1,9.0
Swim,Men,Rufskin,126,3951.33,6493.0,9,0.0667,14.0
Shorts,Men,Match,126,2659.01,5380.74,6,0.0455,21.0
Plus,Women,eVogues Apparel,126,2165.73,4325.74,6,0.0455,21.0
Shorts,Men,Southpole,126,2051.53,4102.88,7,0.0526,18.0
Active,Men,Jerzees,126,1606.18,3760.12,9,0.0667,14.0
Sleep & Lounge,Men,Dockers,126,1549.02,3845.4,4,0.0308,31.5
Socks,Men,Timberland,126,1150.95,1866.96,9,0.0667,14.0
Jeans,Women,Rock Revival,125,9159.83,17034.08,7,0.053,17.86
Swim,Women,Reebok,125,5412.61,12728.68,14,0.1007,8.93
Pants,Men,Volcom,125,4656.41,10144.81,13,0.0942,9.62
Fashion Hoodies & Sweatshirts,Men,Famous Stars and Straps,125,3759.41,6730.66,8,0.0602,15.63
Intimates,Women,CorsetDeal,125,3401.7,6401.5,11,0.0809,11.36
Intimates,Women,Natori,125,3128.16,5776.77,6,0.0458,20.83
Jeans,Women,Vigoss,125,3077.69,5666.86,7,0.053,17.86
Shorts,Men,Rip Curl,125,2903.4,5741.71,6,0.0458,20.83
Accessories,Men,180s,125,1158.95,2787.83,11,0.0809,11.36
Intimates,Women,Corset-story,124,5677.04,10739.93,14,0.1014,8.86
Jeans,Men,RVCA,124,4986.56,9126.05,14,0.1014,8.86
Plus,Women,Wacoal,124,3553.87,7063.0,12,0.0882,10.33
Shorts,Men,DC,124,3050.16,6010.2,16,0.1143,7.75
Blazers & Jackets,Women,LOTUSTRADERS,124,2528.8,6451.76,8,0.0606,15.5
Shorts,Women,Dockers,124,2340.79,4578.62,11,0.0815,11.27
Fashion Hoodies & Sweatshirts,Women,Bella,124,2050.14,4437.78,13,0.0949,9.54
Outerwear & Coats,Women,Allegra K,124,1221.41,2791.23,11,0.0815,11.27
Outerwear & Coats,Women,Arc'teryx,123,21036.32,44617.0,10,0.0752,12.3
Swim,Men,Reyn Spooner,123,5345.59,9058.5,10,0.0752,12.3
Shorts,Men,Matix,123,2703.93,5409.77,10,0.0752,12.3
Sleep & Lounge,Men,Harbor Bay,123,2485.57,6267.0,9,0.0682,13.67
Intimates,Women,Assets,123,1597.5,2968.0,11,0.0821,11.18
Underwear,Men,Harbor Bay,123,1352.95,2887.0,10,0.0752,12.3
Underwear,Men,Munsingwear,123,996.64,2082.22,11,0.0821,11.18
Plus,Women,Sock It To Me,123,668.2,1319.85,9,0.0682,13.67
Dresses,Women,Jessica Simpson,122,6180.97,13711.07,11,0.0827,11.09
Outerwear & Coats,Women,Larry Levine,122,4711.64,10520.01,10,0.0758,12.2
Active,Women,Beyond Yoga,122,3762.57,9272.0,7,0.0543,17.43
Sweaters,Women,Wool Overs,122,2363.72,5303.0,10,0.0758,12.2
Jeans,Women,AG Adriano Goldschmied,121,11231.55,21030.66,9,0.0692,13.44
Sweaters,Men,Tommy Bahama,121,5910.13,11655.0,4,0.032,30.25
Tops & Tees,Women,Calvin Klein,121,4273.6,7849.5,13,0.097,9.31
Tops & Tees,Women,Three Dots,121,4215.44,7401.54,9,0.0692,13.44
Fashion Hoodies & Sweatshirts,Women,Tokidoki,121,3556.69,7608.5,7,0.0547,17.29
Intimates,Women,NuBra,121,2251.5,4244.39,9,0.0692,13.44
Tops & Tees,Women,Next Level,121,1643.16,2861.57,12,0.0902,10.08
Sleep & Lounge,Women,The Cat's Pajamas,120,5435.09,9109.0,9,0.0698,13.33
Intimates,Women,Le Mystere,120,5004.27,9496.31,10,0.0769,12.0
Fashion Hoodies & Sweatshirts,Men,HoodieBuddie,120,3606.59,6535.53,6,0.0476,20.0
Fashion Hoodies & Sweatshirts,Women,O'Neill,120,3132.0,6556.9,9,0.0698,13.33
Jeans,Women,Woman Within,120,2088.78,3888.8,10,0.0769,12.0
Tops & Tees,Women,American Apparel,120,1524.21,2799.0,5,0.04,24.0
Sleep & Lounge,Men,Derek Rose,119,9609.77,24807.5,9,0.0703,13.22
Sweaters,Women,Design History,119,7122.37,16016.23,6,0.048,19.83
Sweaters,Men,Kenneth Cole,119,3919.27,7639.43,8,0.063,14.88
Swim,Women,La Blanca,119,3827.85,9251.35,6,0.048,19.83
Jeans,Women,Hot Topic,119,2207.49,4047.5,6,0.048,19.83
Suits & Sport Coats,Men,Brand Q,119,1735.22,4352.04,10,0.0775,11.9
Fashion Hoodies & Sweatshirts,Men,True Religion,118,10782.22,19782.94,7,0.056,16.86
Fashion Hoodies & Sweatshirts,Women,DC,118,3155.37,6870.74,7,0.056,16.86
Fashion Hoodies & Sweatshirts,Women,Anna-Kaci,118,1833.91,3786.2,14,0.1061,8.43
Jeans,Men,Key Industries,118,1829.62,3571.77,11,0.0853,10.73
Shorts,Women,Jones New York,117,2280.58,4560.51,8,0.064,14.63
Outerwear & Coats,Men,Allegra K,117,1582.99,3503.23,5,0.041,23.4
Socks,Men,adidas,117,907.07,1512.21,15,0.1136,7.8
Accessories,Men,Dickies,117,755.35,1794.95,11,0.0859,10.64
Dresses,Women,French Connection,116,9080.01,19800.64,10,0.0794,11.6
Sweaters,Men,Ben Sherman,116,5681.03,11053.82,8,0.0645,14.5
Sweaters,Men,G-Star,116,5497.05,10947.05,6,0.0492,19.33
Swim,Men,Reef,116,4448.18,7320.58,8,0.0645,14.5
Outerwear & Coats,Men,Tri-Mountain,116,3044.49,6814.37,8,0.0645,14.5
Swim,Women,Coolibar,116,2674.67,6069.4,6,0.0492,19.33
Dresses,Women,Funfash,116,2606.97,5953.84,5,0.0413,23.2
Suits & Sport Coats,Men,Cardi International,115,3895.27,9848.25,15,0.1154,7.67
Swim,Women,Swim 365,115,3750.42,9018.85,7,0.0574,16.43
Swim,Women,Blue Sky Swimwear,115,2246.27,5271.0,7,0.0574,16.43
Intimates,Women,Vx Intimate Inc,115,1928.45,3662.25,10,0.08,11.5
Outerwear & Coats,Women,Anne Klein,114,6993.97,15195.76,8,0.0656,14.25
Suits,Women,Suit Studio,114,6450.3,10570.68,7,0.0579,16.29
Maternity,Women,Bella Materna,114,3187.87,7598.95,5,0.042,22.8
Pants,Men,KingSize,114,2914.21,6059.46,6,0.05,19.0
Accessories,Men,TopTie,114,176.54,444.12,10,0.0806,11.4
Maternity,Women,Sweet Mommy,113,3949.83,8759.0,6,0.0504,18.83
Tops & Tees,Men,Woolrich,113,3877.23,6884.75,9,0.0738,12.56
Suits & Sport Coats,Men,Bolzano,113,3233.0,8074.35,8,0.0661,14.13
Fashion Hoodies & Sweatshirts,Women,stonepowerss,113,2813.06,5914.35,7,0.0583,16.14
Sleep & Lounge,Women,Jockey,113,2349.73,3817.5,8,0.0661,14.13
Swim,Men,Burnside,113,2112.79,3479.24,5,0.0424,22.6
Socks,Men,Champion,113,1218.8,2053.14,6,0.0504,18.83
Sleep & Lounge,Women,BedHead,112,10749.97,17587.04,6,0.0508,18.67
Intimates,Women,American Apparel,112,1381.86,2524.0,10,0.082,11.2
Underwear,Men,Tommy Bahama,112,1252.92,2644.0,9,0.0744,12.44
Dresses,Women,Alki'i,112,1054.29,2360.21,4,0.0345,28.0
Intimates,Women,Morris Costumes,112,1014.1,1896.1,6,0.0508,18.67
Socks & Hosiery,Women,Angelina,112,693.47,1683.73,14,0.1111,8.0
Suits,Women,Nine West,111,7950.08,13456.5,11,0.0902,10.09
Shorts,Men,True Religion,111,6982.39,14402.5,12,0.0976,9.25
Outerwear & Coats,Men,Perry Ellis,111,6823.25,15614.77,5,0.0431,22.2
Active,Women,Icebreaker,111,6085.39,15318.34,6,0.0513,18.5
Sleep & Lounge,Women,Aegean,111,5256.04,8538.89,8,0.0672,13.88
Pants,Men,Polo Ralph Lauren,111,4704.77,10089.48,5,0.0431,22.2
Shorts,Women,Joe's Jeans,111,4082.41,8259.41,12,0.0976,9.25
Shorts,Women,Lucky Brand,111,3402.57,6546.47,3,0.0263,37.0
Plus,Women,DREAMS,111,1640.13,3286.89,6,0.0513,18.5
Sweaters,Men,Dockers,111,1428.48,2778.08,15,0.119,7.4
Sweaters,Women,Curve Appeal,111,1015.47,2384.25,10,0.0826,11.1
Swim,Women,Gottex,110,7747.55,18241.0,6,0.0517,18.33
Jeans,Men,GUESS,110,6103.51,11227.0,12,0.0984,9.17
Dresses,Women,Adrianna Papell,110,5980.15,13082.22,11,0.0909,10.0
Intimates,Women,Spanx,110,4488.76,8482.0,6,0.0517,18.33
Skirts,Women,Karen Kane,110,2587.88,6412.64,8,0.0678,13.75
Shorts,Women,Carhartt,110,2554.12,5297.79,8,0.0678,13.75
Swim,Women,Hurley,110,1752.6,4099.83,11,0.0909,10.0
Intimates,Women,Spree,110,1232.32,2328.98,5,0.0435,22.0
Socks,Men,IZOD,110,973.84,1643.15,3,0.0265,36.67
Accessories,Women,LibbySue,110,804.43,1990.0,13,0.1057,8.46
Pants & Capris,Women,Pendleton,109,4088.3,7504.72,9,0.0763,12.11
Swim,Women,Body Glove,109,1764.42,4201.8,12,0.0992,9.08
Tops & Tees,Women,Tommy Hilfiger,109,1620.72,2837.91,4,0.0354,27.25
Sleep & Lounge,Men,State O Maine,109,1193.68,2909.29,6,0.0522,18.17
Accessories,Women,Kate Spade,108,5523.86,14463.53,8,0.069,13.5
Sweaters,Men,Skedouche,108,4133.41,8436.92,14,0.1148,7.71
Intimates,Women,Adriana,108,2026.94,3709.6,12,0.1,9.0
Active,Women,Russell Athletic,108,1047.06,2597.12,10,0.0847,10.8
Intimates,Women,Pettipant,108,707.37,1302.0,8,0.069,13.5
Plus,Women,boxed-gifts,108,676.09,1391.92,5,0.0442,21.6
Jeans,Women,DL1961,107,8191.38,14643.48,8,0.0696,13.38
Accessories,Women,HOBO,107,3559.97,8804.26,9,0.0776,11.89
Fashion Hoodies & Sweatshirts,Men,Billabong,107,3193.4,5947.3,13,0.1083,8.23
Maternity,Women,Prego,107,3025.87,6691.6,6,0.0531,17.83
Tops & Tees,Men,Eddie Bauer,107,2343.68,4077.57,8,0.0696,13.38
Swim,Women,Volcom,107,2039.18,4921.43,5,0.0446,21.4
Intimates,Women,Underworks,107,1511.21,2849.93,8,0.0696,13.38
Underwear,Men,Lucky Brand,107,1263.83,2776.68,6,0.0531,17.83
Plus,Women,Woman Within,107,1262.31,2603.93,15,0.123,7.13
Sleep & Lounge,Men,Private Label,107,1175.09,2895.59,11,0.0932,9.73
Fashion Hoodies & Sweatshirts,Men,Original Penguin,106,4764.98,8978.64,5,0.045,21.2
Active,Women,prAna,106,3741.16,8825.0,8,0.0702,13.25
Sweaters,Men,Quiksilver,106,3091.78,6474.03,13,0.1092,8.15
Active,Women,Hot Chillys,106,1950.02,4579.11,8,0.0702,13.25
Underwear,Men,Intimo,106,1409.24,2995.1,3,0.0275,35.33
Underwear,Men,Clever,106,1168.45,2443.5,11,0.094,9.64
Maternity,Women,Olian,105,4768.76,10735.48,6,0.0541,17.5
Fashion Hoodies & Sweatshirts,Women,Paul Frank,105,2444.52,5155.72,7,0.0625,15.0
